model,n_query_heads,n_kv_heads,n_groups,is_gqa,n_heads,heads_per_kv,within_group_excess,across_group_excess,note,status
gpt2-medium,16,16,384,False,384,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
EleutherAI/pythia-6.9b,32,32,1024,False,1024,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
Qwen/Qwen2.5-0.5B,14,2,48,True,336,7,0.2415065986403405,-0.1876071131905386,,completed
EleutherAI/pythia-1.4b,16,16,384,False,384,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
gpt2-xl,25,25,1200,False,1200,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
EleutherAI/pythia-160m,12,12,144,False,144,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
EleutherAI/pythia-410m,16,16,384,False,384,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
Qwen/Qwen2.5-1.5B,12,2,56,True,336,6,0.2731452193544608,-0.1922146026692474,,completed
EleutherAI/pythia-2.8b,32,32,1024,False,1024,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
gpt2,12,12,144,False,144,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
gpt2-large,20,20,720,False,720,1,nan,nan,n_kv_heads == n_query_heads: this model is MHA and the within/across split does not exist,completed
